Id Vertices Edges    
0 2 12 19 19 20 21
1 2 19 17 18 21 22
2 4 18 22 23 24 25
3 4 22 16 17 25 26
4 6 10 12 6 27 28
5 10 9 19 29 30 31
6 1 5 6 2 3 4
7 5 0 7 1 7 8
8 6 5 10 3 5 6
9 5 7 11 8 9 10
10 1 0 5 0 1 2
11 5 11 18 10 32 33
12 11 8 22 34 35 36
13 10 19 12 20 27 31
14 9 17 19 14 22 30
15 11 22 18 24 32 36
16 8 16 22 13 26 35
17 4 20 18 23 37 38
18 4 15 20 12 37 39
19 3 14 21 11 40 41
20 3 21 13 41 42 43
21 10 5 18 5 33 44
22 9 10 20 29 45 46
23 8 11 21 34 47 48
24 11 7 13 9 49 50
25 10 18 20 38 44 45
26 9 20 15 16 39 46
27 8 21 14 15 40 48
28 11 13 21 42 47 50
