Id Marker X Y 
0 0 0.000000e+00 1.000000e+00
1 0 1.000000e+00 1.000000e+00
2 0 1.000000e+00 0.000000e+00
3 0 0.000000e+00 0.000000e+00
4 0 5.000000e-01 0.000000e+00
5 0 5.000000e-01 5.000000e-01
6 0 1.000000e+00 5.000000e-01
7 0 0.000000e+00 5.000000e-01
8 0 2.500000e-01 0.000000e+00
9 0 7.500000e-01 0.000000e+00
10 0 7.500000e-01 2.500000e-01
11 0 2.500000e-01 2.500000e-01
12 0 1.000000e+00 2.500000e-01
13 0 0.000000e+00 2.500000e-01
14 0 1.250000e-01 0.000000e+00
15 0 6.250000e-01 0.000000e+00
16 0 3.750000e-01 0.000000e+00
17 0 8.750000e-01 0.000000e+00
18 0 5.000000e-01 2.500000e-01
19 0 8.750000e-01 1.250000e-01
20 0 6.250000e-01 1.250000e-01
21 0 1.250000e-01 1.250000e-01
22 0 3.750000e-01 1.250000e-01
23 0 1.000000e+00 1.250000e-01
24 0 5.000000e-01 1.000000e+00
25 0 7.500000e-01 7.500000e-01
26 0 2.500000e-01 7.500000e-01
27 0 7.500000e-01 5.000000e-01
28 0 2.500000e-01 5.000000e-01
29 0 1.000000e+00 7.500000e-01
30 0 5.000000e-01 7.500000e-01
31 0 7.500000e-01 1.000000e+00
32 0 0.000000e+00 7.500000e-01
33 0 2.500000e-01 1.000000e+00
34 0 8.750000e-01 3.750000e-01
35 0 3.750000e-01 3.750000e-01
36 0 6.250000e-01 3.750000e-01
37 0 1.250000e-01 3.750000e-01
38 0 6.250000e-01 6.250000e-01
39 0 8.750000e-01 6.250000e-01
40 0 1.250000e-01 6.250000e-01
41 0 3.750000e-01 6.250000e-01
42 0 8.750000e-01 8.750000e-01
43 0 6.250000e-01 8.750000e-01
44 0 3.750000e-01 8.750000e-01
45 0 1.250000e-01 8.750000e-01
46 0 5.000000e-01 1.250000e-01
47 0 7.500000e-01 1.250000e-01
48 0 2.500000e-01 1.250000e-01
49 0 8.750000e-01 2.500000e-01
50 0 3.750000e-01 2.500000e-01
51 0 0.000000e+00 1.250000e-01
52 0 6.250000e-01 2.500000e-01
53 0 1.250000e-01 2.500000e-01
54 0 1.000000e+00 3.750000e-01
55 0 7.500000e-01 3.750000e-01
56 0 8.750000e-01 5.000000e-01
57 0 5.000000e-01 3.750000e-01
