Id Marker Origin End
1356 0 50 361
1357 0 361 190
1358 0 362 183
1359 0 95 362
1360 0 53 362
1361 0 362 184
1362 0 363 183
1363 0 11 363
1364 0 104 363
1365 0 363 191
1366 0 364 183
1367 0 104 364
1368 0 53 364
1369 0 364 200
1370 0 365 184
1371 0 100 365
1372 0 53 365
1373 0 365 196
1374 0 366 185
1375 0 34 366
1376 0 96 366
1377 0 366 187
1378 0 367 185
1379 0 34 367
1380 0 97 367
1381 0 367 188
1382 0 368 186
1383 0 96 368
1384 0 55 368
1385 0 368 187
1386 0 369 186
1387 0 102 369
1388 0 55 369
1389 0 369 199
1390 0 370 187
1391 0 106 370
1392 0 55 370
1393 0 370 207
1394 0 371 187
1395 0 34 371
1396 0 106 371
1397 0 371 206
1398 0 372 188
1399 0 97 372
1400 0 54 372
1401 0 372 189
1402 0 373 188
1403 0 105 373
1404 0 54 373
1405 0 373 204
1406 0 374 188
1407 0 34 374
1408 0 105 374
1409 0 374 206
1410 0 375 190
1411 0 35 375
1412 0 98 375
1413 0 375 192
1414 0 376 190
1415 0 35 376
1416 0 99 376
1417 0 376 193
1418 0 377 191
1419 0 98 377
1420 0 59 377
1421 0 377 192
1422 0 378 191
1423 0 104 378
1424 0 59 378
1425 0 378 203
1426 0 379 192
1427 0 112 379
1428 0 59 379
1429 0 379 221
1430 0 380 192
1431 0 35 380
1432 0 112 380
1433 0 380 218
1434 0 381 193
1435 0 99 381
1436 0 57 381
1437 0 381 194
1438 0 382 193
1439 0 110 382
1440 0 57 382
1441 0 382 216
1442 0 383 193
1443 0 35 383
1444 0 110 383
1445 0 383 218
1446 0 384 194
1447 0 101 384
1448 0 57 384
1449 0 384 198
1450 0 385 195
1451 0 13 385
1452 0 100 385
1453 0 385 196
1454 0 386 196
1455 0 13 386
1456 0 103 386
1457 0 386 202
1458 0 387 196
1459 0 103 387
1460 0 53 387
1461 0 387 200
1462 0 388 197
1463 0 36 388
1464 0 101 388
1465 0 388 198
1466 0 389 197
1467 0 36 389
1468 0 102 389
1469 0 389 199
1470 0 390 198
1471 0 111 390
1472 0 57 390
1473 0 390 216
1474 0 391 198
1475 0 36 391
1476 0 111 391
1477 0 391 209
